areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E12000001,North East,region,2022-06-21,20_24,0,0,0.0
E12000001,North East,region,2022-06-21,25_29,0,1,0.6
E12000001,North East,region,2022-06-21,30_34,0,0,0.0
E12000001,North East,region,2022-06-21,35_39,0,1,0.6
E12000001,North East,region,2022-06-21,40_44,0,0,0.0
E12000001,North East,region,2022-06-21,45_49,0,1,0.6
E12000001,North East,region,2022-06-21,50_54,0,2,1.1
E12000001,North East,region,2022-06-21,55_59,0,0,0.0
E12000001,North East,region,2022-06-21,60+,6,24,3.4
E12000001,North East,region,2022-06-21,60_64,0,0,0.0
E12000001,North East,region,2022-06-21,65_69,1,1,0.7
E12000001,North East,region,2022-06-21,70_74,1,3,2.0
E12000001,North East,region,2022-06-21,75_79,1,4,4.0
E12000001,North East,region,2022-06-21,80_84,2,7,9.4
E12000001,North East,region,2022-06-21,85_89,1,6,13.6
E12000001,North East,region,2022-06-21,90+,0,3,13.3
E12000001,North East,region,2022-06-20,00_04,0,0,0.0
E12000001,North East,region,2022-06-20,00_59,2,5,0.3
E12000001,North East,region,2022-06-20,05_09,0,0,0.0
E12000001,North East,region,2022-06-20,10_14,0,0,0.0
E12000001,North East,region,2022-06-20,15_19,0,0,0.0
E12000001,North East,region,2022-06-20,20_24,0,0,0.0
E12000001,North East,region,2022-06-20,25_29,0,1,0.6
E12000001,North East,region,2022-06-20,30_34,0,0,0.0
E12000001,North East,region,2022-06-20,35_39,1,1,0.6
E12000001,North East,region,2022-06-20,40_44,0,0,0.0
E12000001,North East,region,2022-06-20,45_49,0,1,0.6
E12000001,North East,region,2022-06-20,50_54,1,2,1.1
E12000001,North East,region,2022-06-20,55_59,0,0,0.0
E12000001,North East,region,2022-06-20,60+,3,19,2.7
E12000001,North East,region,2022-06-20,60_64,0,0,0.0
E12000001,North East,region,2022-06-20,65_69,0,0,0.0
E12000001,North East,region,2022-06-20,70_74,0,2,1.4
E12000001,North East,region,2022-06-20,75_79,1,4,4.0
E12000001,North East,region,2022-06-20,80_84,1,5,6.7
E12000001,North East,region,2022-06-20,85_89,1,5,11.4
E12000001,North East,region,2022-06-20,90+,0,3,13.3
E12000001,North East,region,2022-06-19,00_04,0,0,0.0
E12000001,North East,region,2022-06-19,00_59,1,3,0.2
E12000001,North East,region,2022-06-19,05_09,0,0,0.0
E12000001,North East,region,2022-06-19,10_14,0,0,0.0
E12000001,North East,region,2022-06-19,15_19,0,0,0.0
E12000001,North East,region,2022-06-19,20_24,0,0,0.0
E12000001,North East,region,2022-06-19,25_29,0,1,0.6
E12000001,North East,region,2022-06-19,30_34,0,0,0.0
E12000001,North East,region,2022-06-19,35_39,0,0,0.0
E12000001,North East,region,2022-06-19,40_44,0,0,0.0
E12000001,North East,region,2022-06-19,45_49,0,1,0.6
E12000001,North East,region,2022-06-19,50_54,1,1,0.5
E12000001,North East,region,2022-06-19,55_59,0,0,0.0
E12000001,North East,region,2022-06-19,60+,1,19,2.7
E12000001,North East,region,2022-06-19,60_64,0,0,0.0
E12000001,North East,region,2022-06-19,65_69,0,0,0.0
E12000001,North East,region,2022-06-19,70_74,0,2,1.4
E12000001,North East,region,2022-06-19,75_79,0,4,4.0
E12000001,North East,region,2022-06-19,80_84,1,4,5.4
E12000001,North East,region,2022-06-19,85_89,0,6,13.6
E12000001,North East,region,2022-06-19,90+,0,3,13.3
E12000001,North East,region,2022-06-18,00_04,0,0,0.0
E12000001,North East,region,2022-06-18,00_59,1,2,0.1
E12000001,North East,region,2022-06-18,05_09,0,0,0.0
E12000001,North East,region,2022-06-18,10_14,0,0,0.0
E12000001,North East,region,2022-06-18,15_19,0,0,0.0
E12000001,North East,region,2022-06-18,20_24,0,0,0.0
E12000001,North East,region,2022-06-18,25_29,1,1,0.6
E12000001,North East,region,2022-06-18,30_34,0,0,0.0
E12000001,North East,region,2022-06-18,35_39,0,0,0.0
E12000001,North East,region,2022-06-18,40_44,0,0,0.0
E12000001,North East,region,2022-06-18,45_49,0,1,0.6
E12000001,North East,region,2022-06-18,50_54,0,0,0.0
E12000001,North East,region,2022-06-18,55_59,0,0,0.0
E12000001,North East,region,2022-06-18,60+,4,20,2.8
E12000001,North East,region,2022-06-18,60_64,0,0,0.0
E12000001,North East,region,2022-06-18,65_69,0,0,0.0
E12000001,North East,region,2022-06-18,70_74,1,2,1.4
E12000001,North East,region,2022-06-18,75_79,0,5,5.0
E12000001,North East,region,2022-06-18,80_84,2,3,4.0
E12000001,North East,region,2022-06-18,85_89,0,6,13.6
E12000001,North East,region,2022-06-18,90+,1,4,17.7
E12000001,North East,region,2022-06-17,00_04,0,0,0.0
E12000001,North East,region,2022-06-17,00_59,1,1,0.1
E12000001,North East,region,2022-06-17,05_09,0,0,0.0
E12000001,North East,region,2022-06-17,10_14,0,0,0.0
E12000001,North East,region,2022-06-17,15_19,0,0,0.0
E12000001,North East,region,2022-06-17,20_24,0,0,0.0
E12000001,North East,region,2022-06-17,25_29,0,0,0.0
E12000001,North East,region,2022-06-17,30_34,0,0,0.0
E12000001,North East,region,2022-06-17,35_39,0,0,0.0
E12000001,North East,region,2022-06-17,40_44,0,0,0.0
E12000001,North East,region,2022-06-17,45_49,1,1,0.6
E12000001,North East,region,2022-06-17,50_54,0,0,0.0
E12000001,North East,region,2022-06-17,55_59,0,0,0.0
E12000001,North East,region,2022-06-17,60+,3,18,2.5
E12000001,North East,region,2022-06-17,60_64,0,0,0.0
E12000001,North East,region,2022-06-17,65_69,0,0,0.0
E12000001,North East,region,2022-06-17,70_74,0,1,0.7
E12000001,North East,region,2022-06-17,75_79,2,5,5.0
E12000001,North East,region,2022-06-17,80_84,1,1,1.3
E12000001,North East,region,2022-06-17,85_89,0,7,15.9
E12000001,North East,region,2022-06-17,90+,0,4,17.7
E12000001,North East,region,2022-06-16,00_04,0,0,0.0
E12000001,North East,region,2022-06-16,00_59,0,0,0.0
E12000001,North East,region,2022-06-16,05_09,0,0,0.0
E12000001,North East,region,2022-06-16,10_14,0,0,0.0
